tier1_threshold,tier2_threshold,tier3_threshold,logloss,auc,tier_0_count,tier_1_count,tier_2_count,tier_3_count,pred_mean,pred_std
0.4,0.6,0.75,0.017037659741075302,0.9993294947368421,47277,47,44,2632,0.05287207,0.22229154
0.61,0.7,0.95,0.017037659741075302,0.9993294947368421,47328,22,94,2556,0.05194973,0.22034249
0.61,0.7,0.9099999999999999,0.017037659741075302,0.9993294947368421,47328,22,63,2587,0.05221896,0.22115375
0.61,0.7,0.87,0.017037659741075302,0.9993294947368421,47328,22,47,2603,0.052345116,0.22152139
0.61,0.7,0.83,0.017037659741075302,0.9993294947368421,47328,22,31,2619,0.05245843,0.22184077
0.61,0.7,0.79,0.017037659741075302,0.9993294947368421,47328,22,21,2629,0.052520856,0.2220106
0.61,0.7,0.75,0.017037659741075302,0.9993294947368421,47328,22,18,2632,0.05253706,0.22205308
0.61,0.65,0.95,0.017037659741075302,0.9993294947368421,47328,9,107,2556,0.052040733,0.22045521
0.61,0.65,0.9099999999999999,0.017037659741075302,0.9993294947368421,47328,9,76,2587,0.052309956,0.22126594
0.61,0.65,0.87,0.017037659741075302,0.9993294947368421,47328,9,60,2603,0.052436113,0.22163334
0.61,0.65,0.83,0.017037659741075302,0.9993294947368421,47328,9,44,2619,0.05254943,0.22195251
0.61,0.65,0.79,0.017037659741075302,0.9993294947368421,47328,9,34,2629,0.05261186,0.22212222
0.61,0.65,0.75,0.017037659741075302,0.9993294947368421,47328,9,31,2632,0.052628066,0.22216474
0.54,0.85,0.95,0.017037659741075302,0.9993294947368421,47309,75,60,2556,0.05176873,0.22005327
0.54,0.85,0.9099999999999999,0.017037659741075302,0.9993294947368421,47309,75,29,2587,0.052037966,0.22086579
0.54,0.85,0.87,0.017037659741075302,0.9993294947368421,47309,75,13,2603,0.052164122,0.22123401
0.54,0.8,0.95,0.017037659741075302,0.9993294947368421,47309,64,71,2556,0.051845733,0.22014885
0.54,0.8,0.9099999999999999,0.017037659741075302,0.9993294947368421,47309,64,40,2587,0.052114967,0.22096092
0.54,0.65,0.95,0.017037659741075302,0.9993294947368421,47309,28,107,2556,0.05209773,0.22046115
0.54,0.7,0.75,0.017037659741075302,0.9993294947368421,47309,41,18,2632,0.052594062,0.22205886
0.54,0.7,0.79,0.017037659741075302,0.9993294947368421,47309,41,21,2629,0.05257786,0.22201635
0.54,0.7,0.83,0.017037659741075302,0.9993294947368421,47309,41,31,2619,0.052515436,0.22184655
0.54,0.7,0.87,0.017037659741075302,0.9993294947368421,47309,41,47,2603,0.05240212,0.2215272
0.54,0.7,0.9099999999999999,0.017037659741075302,0.9993294947368421,47309,41,63,2587,0.052275963,0.22115962
0.61,0.75,0.79,0.017037659741075302,0.9993294947368421,47328,40,3,2629,0.05239486,0.22185586
0.54,0.7,0.95,0.017037659741075302,0.9993294947368421,47309,41,94,2556,0.05200673,0.22034845
0.54,0.75,0.83,0.017037659741075302,0.9993294947368421,47309,59,13,2619,0.05238944,0.2216917
0.54,0.75,0.87,0.017037659741075302,0.9993294947368421,47309,59,29,2603,0.05227612,0.22137205
0.54,0.75,0.9099999999999999,0.017037659741075302,0.9993294947368421,47309,59,45,2587,0.052149966,0.22100416
0.54,0.75,0.95,0.017037659741075302,0.9993294947368421,47309,59,76,2556,0.05188073,0.22019224
